Tool Name,Slug,Bundle,Widget Type,Primary CTA,Partner Use,Asset Type,Next Build Step,Source Notion ID
Working Capital Estimator,working-capital-estimator,Funding Readiness Widget Pack,Estimator,Apply Now,Funding pre-check for small business owners,Widget + landing page,Build static widget and embed page,3664bc1b-d63c-81ef-bc27-f9a72d9751d3
Merchant Processing Savings Estimator,merchant-processing-savings-estimator,Merchant Services Toolkit,Estimator,Get Audit,Merchant-cost savings conversation starter,Widget + sales page,Create savings calculator brief,3664bc1b-d63c-81e7-9a6e-cd0469b5ec1d
Content Site Valuation Estimator,content-site-valuation-estimator,Micro Acquisition Toolkit,Estimator,Get Audit,Content-site valuation lead magnet,Widget + report page,Create valuation inputs and range logic,3664bc1b-d63c-81ce-b8dc-f6bf1a535ae0
Tax Reserve Estimator,tax-reserve-estimator,CFO-in-a-Box Survival Pack,Estimator,Download Template,Tax cash-reserve planning tool,Widget + checklist,Create reserve calculator logic,3664bc1b-d63c-81ba-a46f-c01b1e113349
Debt Stack Risk Analyzer,debt-stack-risk-analyzer,Funding Readiness Widget Pack,Analyzer,Get Audit,Debt burden risk review for funding leads,Widget + audit offer,Create risk bands and flags,3664bc1b-d63c-81d6-b142-f45d00ec3c1b
SaaS Valuation Estimator,saas-valuation-estimator,Micro Acquisition Toolkit,Estimator,Get Audit,Micro-SaaS valuation and sale-readiness tool,Widget + landing page,Create valuation multiple logic,3664bc1b-d63c-811a-b0ea-fcecb253cc7f
Marketplace Fee Analyzer,marketplace-fee-analyzer,Ecommerce Finance Toolkit,Analyzer,Get Audit,Marketplace seller margin leak audit,Widget + report,Create fee/margin calculator,3664bc1b-d63c-8131-b530-efb24c7b70e4
Working Capital Cycle Analyzer,working-capital-cycle-analyzer,Funding Readiness Widget Pack,Analyzer,Get Audit,Cash conversion and working-capital review,Widget + explainer,Create cycle logic and recommendations,3664bc1b-d63c-8129-95da-e20a9052a2f1
Balance Sheet Health Checker,balance-sheet-health-checker,CFO-in-a-Box Survival Pack,Checker,Get Audit,Financial health review for SMB owners,Widget + diagnostic,Create balance-sheet flags,3664bc1b-d63c-813a-9550-c8f13479d8cf
Deposit Consistency Analyzer,deposit-consistency-analyzer,Funding Readiness Widget Pack,Analyzer,Start Scorecard,Bank deposit readiness lead magnet,Widget + funding CTA,Create deposit scoring rules,3664bc1b-d63c-811d-a02d-d974916e1b3f
Shopify Cash Conversion Cycle Analyzer,shopify-cash-conversion-cycle-analyzer,Ecommerce Finance Toolkit,Analyzer,Get Audit,Shopify cash-flow and inventory planning tool,Widget + landing page,Create ecommerce cash cycle logic,3664bc1b-d63c-8127-897d-df978b6b31bc
Invoice Factoring Fit Checker,invoice-factoring-fit-checker,Funding Readiness Widget Pack,Checker,Apply Now,AR-based funding fit lead magnet,Widget + provider routing,Create factoring fit rules,3664bc1b-d63c-81fd-b25b-c42a2ce29859
Customer Concentration Risk Checker,customer-concentration-risk-checker,CFO-in-a-Box Survival Pack,Checker,Get Audit,Revenue concentration risk diagnostic,Widget + report,Create concentration thresholds,3664bc1b-d63c-8175-b449-e1b3ab7b854c
AR Aging Risk Analyzer,ar-aging-risk-analyzer,Invoice Financing Toolkit,Analyzer,Get Audit,Receivables risk and factoring-readiness tool,Widget + checklist,Create AR aging score,3664bc1b-d63c-81f9-a675-c82e62058007
Tradeline Reporting Readiness Checker,tradeline-reporting-readiness-checker,Business Credit Starter Pack,Checker,Get Audit,Tradeline readiness assessment,Widget + service offer,Create readiness checklist,3664bc1b-d63c-8181-8fce-e827e734e735
Funding Application Completeness Checker,funding-application-completeness-checker,Funding Readiness Widget Pack,Checker,Apply Now,Application prep and document gap tool,Widget + checklist,Create missing-doc rules,3664bc1b-d63c-815a-8bdd-f58682112cc4
